X, Y, Z, Dose
0, 0, 0, 2.952998556793318e-07
0, 1, 0, 4.350938525021775e-07
0, 2, 0, 4.802507191925542e-07
0, 3, 0, 4.934359481012507e-07
0, 4, 0, 6.104804697315558e-07
0, 5, 0, 5.41893143690686e-07
0, 6, 0, 5.078923663859314e-07
0, 7, 0, 5.21117556218087e-07
0, 8, 0, 4.792574941347993e-07
0, 9, 0, 5.806894591842138e-07
0, 10, 0, 5.619623379971017e-07
0, 11, 0, 5.815213057758228e-07
0, 12, 0, 5.195489052312041e-07
0, 13, 0, 5.476977094076574e-07
0, 14, 0, 5.81089977913507e-07
0, 15, 0, 5.464889341055823e-07
0, 16, 0, 6.25492873496114e-07
0, 17, 0, 6.178706826176494e-07
0, 18, 0, 5.47278034446208e-07
0, 19, 0, 5.279159154270019e-07
0, 20, 0, 6.282098183874041e-07
0, 21, 0, 6.211639629327692e-07
0, 22, 0, 6.329224220280594e-07
0, 23, 0, 5.353297751753416e-07
0, 24, 0, 5.61655099318159e-07
0, 25, 0, 6.114349844210665e-07
0, 26, 0, 5.852425033481268e-07
0, 27, 0, 6.512724439744488e-07
0, 28, 0, 5.331750685400038e-07
0, 29, 0, 5.601123120868579e-07
0, 30, 0, 6.523457045659597e-07
0, 31, 0, 6.104762064751412e-07
0, 32, 0, 6.659047357970849e-07
0, 33, 0, 5.550362516260066e-07
0, 34, 0, 5.591569447460643e-07
0, 35, 0, 5.484038183567463e-07
0, 36, 0, 5.71981843222602e-07
0, 37, 0, 5.422961066869902e-07
0, 38, 0, 5.262004947326204e-07
0, 39, 0, 5.730548195970186e-07
0, 40, 0, 6.331785016300273e-07
0, 41, 0, 5.756316454608168e-07
0, 42, 0, 5.475555440170865e-07
0, 43, 0, 5.363585273698845e-07
0, 44, 0, 5.908765956519346e-07
0, 45, 0, 6.070633844501572e-07
0, 46, 0, 5.984634867672867e-07
0, 47, 0, 5.646778618029202e-07
0, 48, 0, 5.981023036838451e-07
0, 49, 0, 5.029422709412756e-07
0, 50, 0, 5.752398237746092e-07
0, 51, 0, 5.898588142372319e-07
0, 52, 0, 5.769941253674915e-07
0, 53, 0, 5.767802804257371e-07
0, 54, 0, 5.360371915230644e-07
0, 55, 0, 5.520651598089898e-07
0, 56, 0, 5.554520612349734e-07
0, 57, 0, 6.476607268268708e-07
0, 58, 0, 5.734223691433726e-07
0, 59, 0, 6.376350256687147e-07
0, 60, 0, 6.257363338590949e-07
0, 61, 0, 5.571240535573452e-07
0, 62, 0, 6.293440151239338e-07
0, 63, 0, 6.025534844411595e-07
0, 64, 0, 5.377642651183123e-07
0, 65, 0, 6.12439407632337e-07
0, 66, 0, 5.698744303117564e-07
0, 67, 0, 5.278265007291338e-07
0, 68, 0, 5.824516051688988e-07
0, 69, 0, 6.04080639732274e-07
0, 70, 0, 6.058621693227906e-07
0, 71, 0, 5.809881713503273e-07
0, 72, 0, 5.413923531705223e-07
0, 73, 0, 5.871115149602701e-07
0, 74, 0, 6.221828812158492e-07
0, 75, 0, 5.325209144757537e-07
0, 76, 0, 4.686796160058293e-07
0, 77, 0, 5.287911335472018e-07
0, 78, 0, 5.889810950066021e-07
0, 79, 0, 5.233797537584906e-07
0, 80, 0, 5.343358679965604e-07
0, 81, 0, 6.308366664597997e-07
0, 82, 0, 5.525491246771708e-07
0, 83, 0, 6.037248567736242e-07
0, 84, 0, 6.19872764673346e-07
0, 85, 0, 6.020177352183964e-07
0, 86, 0, 6.176275064717629e-07
0, 87, 0, 5.994717184876208e-07
0, 88, 0, 5.428645408755983e-07
0, 89, 0, 5.608141009361134e-07
0, 90, 0, 6.255119160414324e-07
0, 91, 0, 6.089626936045534e-07
0, 92, 0, 6.229208793229191e-07
0, 93, 0, 5.841631036673789e-07
0, 94, 0, 5.943681458120409e-07
0, 95, 0, 6.042018867447041e-07
0, 96, 0, 6.192794899106957e-07
0, 97, 0, 5.953361323918216e-07
0, 98, 0, 5.232761282059073e-07
0, 99, 0, 5.971687073724752e-07
0, 100, 0, 5.959540771982574e-07
0, 101, 0, 5.549646857616608e-07
0, 102, 0, 6.141681865301507e-07
0, 103, 0, 6.427396783692529e-07
0, 104, 0, 6.263920795390732e-07
0, 105, 0, 5.494345600709494e-07
0, 106, 0, 5.443774284685787e-07
0, 107, 0, 5.817839223709598e-07
0, 108, 0, 4.933381774208101e-07
0, 109, 0, 5.873007467016578e-07
0, 110, 0, 5.898282893213036e-07
0, 111, 0, 6.333783630907419e-07
0, 112, 0, 5.494519541571208e-07
0, 113, 0, 5.706434080821055e-07
0, 114, 0, 6.319970111690054e-07
0, 115, 0, 5.668025551130995e-07
0, 116, 0, 5.813742518512299e-07
0, 117, 0, 6.383039021784498e-07
0, 118, 0, 6.208560989762191e-07
0, 119, 0, 5.190109959585243e-07
0, 120, 0, 4.678164771121374e-07
0, 121, 0, 5.905849889131787e-07
0, 122, 0, 6.466681838901422e-07
0, 123, 0, 5.570656185227563e-07
0, 124, 0, 5.61532601750514e-07
0, 125, 0, 6.009468052070588e-07
0, 126, 0, 6.219397050699627e-07
0, 127, 0, 6.006379180689692e-07
0, 128, 0, 6.267850380936579e-07
0, 129, 0, 5.716730697713501e-07
0, 130, 0, 5.837878802594787e-07
0, 131, 0, 6.333057740448567e-07
0, 132, 0, 5.588667590927798e-07
0, 133, 0, 5.830746658830321e-07
0, 134, 0, 6.14103555562906e-07
0, 135, 0, 6.123162847870844e-07
0, 136, 0, 5.966490448372497e-07
0, 137, 0, 5.962978661955276e-07
0, 138, 0, 5.917570433666697e-07
0, 139, 0, 5.531353508558823e-07
0, 140, 0, 5.686807753590983e-07
0, 141, 0, 6.38780818462692e-07
0, 142, 0, 6.303086479420017e-07
0, 143, 0, 5.815900294692256e-07
0, 144, 0, 5.655055019815336e-07
