X, Y, Z, Dose
0, 0, 0, 6.234000693439157e-07
0, 1, 0, 8.114931233649259e-07
0, 2, 0, 1.026926838676445e-06
0, 3, 0, 1.217568978972849e-06
0, 4, 0, 1.215677002619486e-06
0, 5, 0, 1.276348370993219e-06
0, 6, 0, 1.34119079575612e-06
0, 7, 0, 1.404255272063892e-06
0, 8, 0, 1.318062231803196e-06
0, 9, 0, 1.279202137993707e-06
0, 10, 0, 1.345872874480847e-06
0, 11, 0, 1.389998260492575e-06
0, 12, 0, 1.446754822609364e-06
0, 13, 0, 1.398578774569614e-06
0, 14, 0, 1.492317323936732e-06
0, 15, 0, 1.599411689312547e-06
0, 16, 0, 1.464763158764981e-06
0, 17, 0, 1.454948687751312e-06
0, 18, 0, 1.54757049131149e-06
0, 19, 0, 1.60063552812062e-06
0, 20, 0, 1.468837695028924e-06
0, 21, 0, 1.288299813495541e-06
0, 22, 0, 1.330581540059939e-06
0, 23, 0, 1.418850160916918e-06
0, 24, 0, 1.504696570009401e-06
0, 25, 0, 1.534526177238149e-06
0, 26, 0, 1.365242042083992e-06
0, 27, 0, 1.37235610964126e-06
0, 28, 0, 1.355533754576754e-06
0, 29, 0, 1.431179043720476e-06
0, 30, 0, 1.570003405504394e-06
0, 31, 0, 1.482444758948986e-06
0, 32, 0, 1.352268441223714e-06
0, 33, 0, 1.380234607495368e-06
0, 34, 0, 1.354751475446392e-06
0, 35, 0, 1.467348965888959e-06
0, 36, 0, 1.448700913897483e-06
0, 37, 0, 1.357746555186168e-06
0, 38, 0, 1.383223207085393e-06
0, 39, 0, 1.402545763085072e-06
0, 40, 0, 1.454619223295595e-06
0, 41, 0, 1.48464107496693e-06
0, 42, 0, 1.521018361927418e-06
0, 43, 0, 1.677079922046687e-06
0, 44, 0, 1.498398432886461e-06
0, 45, 0, 1.433258148608729e-06
0, 46, 0, 1.459543568671506e-06
0, 47, 0, 1.480681021348573e-06
0, 48, 0, 1.474046825933328e-06
0, 49, 0, 1.515691906206484e-06
0, 50, 0, 1.437303467355378e-06
0, 51, 0, 1.539012714601995e-06
0, 52, 0, 1.49416564454441e-06
0, 53, 0, 1.516954625913058e-06
0, 54, 0, 1.576041881889978e-06
0, 55, 0, 1.588625650583708e-06
0, 56, 0, 1.627882738830522e-06
0, 57, 0, 1.494877778895898e-06
