X, Y, Z, Dose
0, 0, 0, 3.707346820647217e-07
0, 1, 0, 5.26585779425659e-07
0, 2, 0, 4.829221325053368e-07
0, 3, 0, 6.845236839581048e-07
0, 4, 0, 7.548539429080847e-07
0, 5, 0, 6.612521588067466e-07
0, 6, 0, 7.234698387037497e-07
0, 7, 0, 6.32561580005131e-07
0, 8, 0, 7.000832624726172e-07
0, 9, 0, 7.140937441363349e-07
0, 10, 0, 7.271348749782192e-07
0, 11, 0, 7.091360885169706e-07
0, 12, 0, 6.980320677030249e-07
0, 13, 0, 7.172448022174649e-07
0, 14, 0, 7.090106350915448e-07
0, 15, 0, 8.127226465148851e-07
0, 16, 0, 7.863101245675352e-07
0, 17, 0, 7.406676445498306e-07
0, 18, 0, 6.850025897620071e-07
0, 19, 0, 6.564541763509624e-07
0, 20, 0, 7.079287911437859e-07
0, 21, 0, 6.900792755004659e-07
0, 22, 0, 5.759969212704164e-07
0, 23, 0, 6.829397420915484e-07
0, 24, 0, 6.953868592063372e-07
0, 25, 0, 6.535804573104542e-07
0, 26, 0, 6.56700990475656e-07
0, 27, 0, 7.428757839988975e-07
0, 28, 0, 8.125049930640671e-07
0, 29, 0, 7.020696557447081e-07
0, 30, 0, 7.036714464447869e-07
0, 31, 0, 6.379056003424921e-07
0, 32, 0, 7.91869126715028e-07
0, 33, 0, 7.197194236141513e-07
0, 34, 0, 6.960262339816836e-07
0, 35, 0, 7.456606567757262e-07
0, 36, 0, 6.953995352887432e-07
0, 37, 0, 7.507674695261812e-07
0, 38, 0, 7.525688374698802e-07
0, 39, 0, 7.941242756714928e-07
0, 40, 0, 8.06598620783916e-07
0, 41, 0, 7.348661483774777e-07
0, 42, 0, 6.911109267093707e-07
0, 43, 0, 7.737194778201228e-07
0, 44, 0, 7.783684736750729e-07
0, 45, 0, 7.217352049337933e-07
0, 46, 0, 6.890160761940933e-07
0, 47, 0, 7.063582074806618e-07
0, 48, 0, 6.849814440101909e-07
0, 49, 0, 7.866743203521764e-07
0, 50, 0, 7.624552154084085e-07
0, 51, 0, 7.817434379830956e-07
0, 52, 0, 7.177126803981082e-07
0, 53, 0, 7.61267870075244e-07
0, 54, 0, 7.3640438813527e-07
0, 55, 0, 8.543394756088674e-07
0, 56, 0, 7.340310617109935e-07
0, 57, 0, 6.136979209259152e-07
0, 58, 0, 6.865017780910421e-07
0, 59, 0, 7.049690680105414e-07
0, 60, 0, 6.683413289465534e-07
0, 61, 0, 6.880918590468355e-07
0, 62, 0, 6.548951887452859e-07
0, 63, 0, 6.978448254812974e-07
0, 64, 0, 7.699285902162956e-07
0, 65, 0, 7.567566058241937e-07
0, 66, 0, 6.818076485615165e-07
0, 67, 0, 6.541699235640408e-07
0, 68, 0, 7.107036594788951e-07
0, 69, 0, 6.815679967075994e-07
0, 70, 0, 7.376979738182854e-07
0, 71, 0, 7.407215321109106e-07
0, 72, 0, 7.287873131645028e-07
0, 73, 0, 8.219317351176869e-07
0, 74, 0, 8.098943453660468e-07
0, 75, 0, 6.638792910962366e-07
0, 76, 0, 7.403128279293014e-07
0, 77, 0, 7.203951213341497e-07
0, 78, 0, 7.061893256832263e-07
0, 79, 0, 7.440561375915422e-07
0, 80, 0, 7.0064447754703e-07
0, 81, 0, 7.23321079476591e-07
0, 82, 0, 7.159871415751695e-07
0, 83, 0, 7.057633979457023e-07
0, 84, 0, 8.296699434140464e-07
0, 85, 0, 7.595081115141511e-07
0, 86, 0, 7.164969133555132e-07
0, 87, 0, 7.923766816020361e-07
0, 88, 0, 8.163791562765255e-07
0, 89, 0, 8.790161700744648e-07
0, 90, 0, 8.059278684413584e-07
0, 91, 0, 7.102653398760594e-07
0, 92, 0, 6.373859378072666e-07
0, 93, 0, 7.962194672472833e-07
0, 94, 0, 7.761217943880183e-07
0, 95, 0, 7.125881893443875e-07
0, 96, 0, 6.962993097658909e-07
0, 97, 0, 7.301267714865389e-07
0, 98, 0, 7.828155617062293e-07
0, 99, 0, 8.767214012550539e-07
0, 100, 0, 7.756059972052753e-07
0, 101, 0, 7.539753710261721e-07
0, 102, 0, 7.113472406672372e-07
0, 103, 0, 7.283965715032537e-07
0, 104, 0, 7.347605333052343e-07
0, 105, 0, 7.562751420664426e-07
0, 106, 0, 7.368182082245767e-07
0, 107, 0, 7.180886996138724e-07
0, 108, 0, 8.045529398259532e-07
0, 109, 0, 8.095993280221592e-07
0, 110, 0, 8.012095236153982e-07
0, 111, 0, 6.820800422246975e-07
0, 112, 0, 7.008673605923832e-07
0, 113, 0, 7.541288482570963e-07
0, 114, 0, 7.422745511576068e-07
0, 115, 0, 7.575363270007074e-07
0, 116, 0, 7.109447324182838e-07
0, 117, 0, 6.867104502816801e-07
0, 118, 0, 7.340829029089946e-07
0, 119, 0, 7.90961280472402e-07
0, 120, 0, 7.246781592584739e-07
0, 121, 0, 7.619720463480917e-07
0, 122, 0, 7.71975635416311e-07
0, 123, 0, 7.458729101017525e-07
0, 124, 0, 7.833328936612816e-07
0, 125, 0, 7.342933372456173e-07
0, 126, 0, 7.032336952761398e-07
0, 127, 0, 6.565501848854183e-07
0, 128, 0, 6.52148742119607e-07
0, 129, 0, 6.609290608139418e-07
0, 130, 0, 8.001001674529107e-07
0, 131, 0, 7.865704674259177e-07
0, 132, 0, 6.835261956439354e-07
0, 133, 0, 7.335456757573411e-07
0, 134, 0, 6.821703095738485e-07
0, 135, 0, 7.423245165227854e-07
0, 136, 0, 6.309332434284443e-07
0, 137, 0, 7.590330142193125e-07
0, 138, 0, 7.1976938897933e-07
0, 139, 0, 7.485942319362948e-07
0, 140, 0, 7.554340868409781e-07
0, 141, 0, 7.31189743419236e-07
0, 142, 0, 8.368592148144671e-07
0, 143, 0, 7.709551255175029e-07
0, 144, 0, 7.330360176638351e-07
0, 145, 0, 8.690116146681248e-07
0, 146, 0, 7.616641255481227e-07
0, 147, 0, 7.640256285412761e-07
0, 148, 0, 7.7871391113149e-07
0, 149, 0, 7.448917926922149e-07
0, 150, 0, 8.37473464798677e-07
0, 151, 0, 7.037438649604155e-07
0, 152, 0, 7.698399144828727e-07
0, 153, 0, 7.569076387881069e-07
0, 154, 0, 7.009905402810546e-07
0, 155, 0, 7.772309800202493e-07
0, 156, 0, 7.743817604932701e-07
0, 157, 0, 7.979379006428644e-07
0, 158, 0, 8.393117241212167e-07
0, 159, 0, 7.845084724067419e-07
0, 160, 0, 7.203469749583746e-07
0, 161, 0, 7.652603812857706e-07
0, 162, 0, 7.719008294770902e-07
0, 163, 0, 7.157031518545409e-07
0, 164, 0, 6.609089950870839e-07
0, 165, 0, 6.533828127430752e-07
0, 166, 0, 7.146067559915537e-07
0, 167, 0, 7.793756253704487e-07
0, 168, 0, 7.385266940218571e-07
0, 169, 0, 5.976108354843745e-07
0, 170, 0, 7.580986789434974e-07
0, 171, 0, 7.622964517395303e-07
0, 172, 0, 7.687715992688027e-07
0, 173, 0, 8.105824917947757e-07
0, 174, 0, 8.093515475593449e-07
0, 175, 0, 7.779160569043597e-07
0, 176, 0, 7.832391020201612e-07
0, 177, 0, 6.799410812163842e-07
0, 178, 0, 8.403923743571795e-07
0, 179, 0, 7.705864959461906e-07
0, 180, 0, 7.700051014580822e-07
0, 181, 0, 7.315856578316016e-07
0, 182, 0, 6.435916475311387e-07
0, 183, 0, 6.952768103474227e-07
0, 184, 0, 7.301553068828071e-07
0, 185, 0, 6.797931746405084e-07
0, 186, 0, 7.6358134037946e-07
0, 187, 0, 8.036953431656002e-07
0, 188, 0, 7.905146048869938e-07
0, 189, 0, 8.539988698430534e-07
0, 190, 0, 8.031990432755265e-07
0, 191, 0, 7.904535550551373e-07
0, 192, 0, 7.362572773672582e-07
0, 193, 0, 7.178849728006753e-07
0, 194, 0, 7.758237643429311e-07
0, 195, 0, 8.048933750615106e-07
0, 196, 0, 7.967281590026687e-07
0, 197, 0, 7.550064538008883e-07
0, 198, 0, 6.711407536386105e-07
0, 199, 0, 6.887865993121522e-07
0, 200, 0, 6.010465654071595e-07
0, 201, 0, 6.033842510078102e-07
0, 202, 0, 6.637150704591477e-07
0, 203, 0, 7.223251827781496e-07
0, 204, 0, 6.530127052428725e-07
0, 205, 0, 5.984155109217681e-07
0, 206, 0, 5.14876262514008e-07
0, 207, 0, 3.671301556096296e-07
1, 0, 0, 5.407914045463258e-07
1, 1, 0, 7.423639658554748e-07
1, 2, 0, 8.172317507160187e-07
1, 3, 0, 9.757322914083488e-07
1, 4, 0, 8.968320344138192e-07
1, 5, 0, 1.016085207083961e-06
1, 6, 0, 9.5676250566612e-07
1, 7, 0, 9.711088750918861e-07
1, 8, 0, 9.113906571656116e-07
1, 9, 0, 8.4055551496931e-07
1, 10, 0, 8.844074272928992e-07
1, 11, 0, 1.024558173412515e-06
1, 12, 0, 8.493789209751412e-07
1, 13, 0, 9.740842870087363e-07
1, 14, 0, 9.773507372301538e-07
1, 15, 0, 1.019446813188551e-06
1, 16, 0, 9.218022682944138e-07
1, 17, 0, 1.100136273635144e-06
1, 18, 0, 9.309885626862524e-07
1, 19, 0, 9.683212738309521e-07
1, 20, 0, 1.015423663375259e-06
1, 21, 0, 9.198307679980644e-07
1, 22, 0, 9.477959110881784e-07
1, 23, 0, 1.106287982111098e-06
1, 24, 0, 9.787511316972086e-07
1, 25, 0, 1.053026039699034e-06
1, 26, 0, 8.859734066390956e-07
1, 27, 0, 9.053444500750629e-07
1, 28, 0, 9.710021231512656e-07
1, 29, 0, 1.05003186945396e-06
1, 30, 0, 9.819725619308883e-07
1, 31, 0, 1.002179601528042e-06
1, 32, 0, 1.02380897715193e-06
1, 33, 0, 1.105820047087036e-06
1, 34, 0, 1.015439920593053e-06
1, 35, 0, 9.739023880683817e-07
1, 36, 0, 1.074955662261345e-06
1, 37, 0, 1.068123310687952e-06
1, 38, 0, 1.045016915668384e-06
1, 39, 0, 1.052041397997527e-06
1, 40, 0, 1.039764470078808e-06
1, 41, 0, 1.00371153166634e-06
1, 42, 0, 9.043947670761554e-07
1, 43, 0, 1.125895096265594e-06
1, 44, 0, 1.045202566274384e-06
1, 45, 0, 1.00058491625532e-06
1, 46, 0, 1.021351295094064e-06
1, 47, 0, 1.037851347973628e-06
1, 48, 0, 1.202346993522951e-06
1, 49, 0, 1.130202122112678e-06
1, 50, 0, 1.803626560104021e-06
1, 51, 0, 1.121045443142066e-06
1, 52, 0, 1.057847725860483e-06
1, 53, 0, 1.043350835061574e-06
1, 54, 0, 1.015919906421914e-06
1, 55, 0, 1.038296773003822e-06
1, 56, 0, 1.021134835355042e-06
1, 57, 0, 9.960400575437234e-07
1, 58, 0, 9.819676733968663e-07
1, 59, 0, 1.100511326512787e-06
1, 60, 0, 1.077383103620377e-06
1, 61, 0, 1.020019340103318e-06
1, 62, 0, 9.711703796710935e-07
1, 63, 0, 9.032334560288291e-07
1, 64, 0, 1.095921447813453e-06
1, 65, 0, 1.074197939487931e-06
1, 66, 0, 1.037848164742172e-06
1, 67, 0, 1.202476710204792e-06
1, 68, 0, 1.052492279995931e-06
1, 69, 0, 9.805557965592016e-07
1, 70, 0, 9.578781146046822e-07
1, 71, 0, 1.01148964404274e-06
1, 72, 0, 9.991173328671721e-07
1, 73, 0, 1.067837729351595e-06
1, 74, 0, 9.67132109508384e-07
1, 75, 0, 1.027473786052724e-06
1, 76, 0, 1.015959583128279e-06
1, 77, 0, 1.066227696355782e-06
1, 78, 0, 8.825395525491331e-07
1, 79, 0, 8.955909720498312e-07
1, 80, 0, 9.687548754300224e-07
1, 81, 0, 1.036520302477584e-06
1, 82, 0, 1.044825694407336e-06
1, 83, 0, 9.293410130339907e-07
1, 84, 0, 1.046623538059066e-06
1, 85, 0, 9.887642136163777e-07
1, 86, 0, 1.192580839415314e-06
1, 87, 0, 1.111014057642024e-06
1, 88, 0, 1.001569785330503e-06
1, 89, 0, 1.055542384165165e-06
1, 90, 0, 1.092616230380372e-06
1, 91, 0, 1.149639501818456e-06
1, 92, 0, 1.011198946798686e-06
1, 93, 0, 1.157747078650573e-06
