X, Y, Z, Dose
0, 0, 0, 6.965850616325042e-07
0, 1, 0, 9.565450227455585e-07
0, 2, 0, 1.080427978195075e-06
0, 3, 0, 1.186135591524362e-06
0, 4, 0, 1.258594807040936e-06
0, 5, 0, 1.436471848137444e-06
0, 6, 0, 1.397832079419459e-06
0, 7, 0, 1.399857183059794e-06
0, 8, 0, 1.530910594738089e-06
0, 9, 0, 1.40625229505531e-06
0, 10, 0, 1.499250174674671e-06
0, 11, 0, 1.522451270830061e-06
0, 12, 0, 1.456935024179984e-06
0, 13, 0, 1.50148468947009e-06
0, 14, 0, 1.492876549491484e-06
0, 15, 0, 1.301762267758022e-06
0, 16, 0, 1.396704533362936e-06
0, 17, 0, 1.581689843987988e-06
0, 18, 0, 1.567370418342762e-06
0, 19, 0, 1.492633600719273e-06
0, 20, 0, 1.464890715396905e-06
0, 21, 0, 1.523236505818204e-06
0, 22, 0, 1.551740410832281e-06
0, 23, 0, 1.468876575927425e-06
0, 24, 0, 1.591043314874696e-06
0, 25, 0, 1.406576529916492e-06
0, 26, 0, 1.480803462072799e-06
0, 27, 0, 1.505077534602606e-06
0, 28, 0, 1.433358534086437e-06
0, 29, 0, 1.573503823237843e-06
0, 30, 0, 1.4732628415004e-06
0, 31, 0, 1.413245740877755e-06
0, 32, 0, 1.453943696105853e-06
0, 33, 0, 1.321076297244872e-06
0, 34, 0, 1.372240490127297e-06
0, 35, 0, 1.469556877964351e-06
0, 36, 0, 1.357719725092466e-06
0, 37, 0, 1.433094780622923e-06
0, 38, 0, 1.489275405219814e-06
0, 39, 0, 1.509186859038891e-06
0, 40, 0, 1.536435775051359e-06
0, 41, 0, 1.470352913202078e-06
0, 42, 0, 1.471384280193888e-06
0, 43, 0, 1.464761794522929e-06
0, 44, 0, 1.450752392884169e-06
0, 45, 0, 1.449289811716881e-06
0, 46, 0, 1.428468181075004e-06
0, 47, 0, 1.518126396149455e-06
0, 48, 0, 1.480306195844605e-06
0, 49, 0, 1.542116365271795e-06
0, 50, 0, 1.598844505679153e-06
0, 51, 0, 1.436937623111589e-06
0, 52, 0, 1.444100007574889e-06
0, 53, 0, 1.44735827234399e-06
0, 54, 0, 1.454078415008553e-06
0, 55, 0, 1.606267233000835e-06
0, 56, 0, 1.617979705770267e-06
0, 57, 0, 1.584423330314166e-06
0, 58, 0, 1.509526782683679e-06
0, 59, 0, 1.462010004615877e-06
0, 60, 0, 1.471560381105519e-06
0, 61, 0, 3.388870254639187e-06
0, 62, 0, 1.46858542393602e-06
0, 63, 0, 1.488741418143036e-06
0, 64, 0, 1.483790697420773e-06
0, 65, 0, 1.314495534643356e-06
0, 66, 0, 1.351875653199386e-06
0, 67, 0, 1.428619043508661e-06
0, 68, 0, 1.610229787729622e-06
0, 69, 0, 1.705876002233708e-06
0, 70, 0, 1.493889044468233e-06
0, 71, 0, 1.444573626940837e-06
0, 72, 0, 1.517964847153053e-06
0, 73, 0, 1.56830856212764e-06
0, 74, 0, 1.369701294606784e-06
0, 75, 0, 1.474838541071222e-06
0, 76, 0, 1.430344354957924e-06
0, 77, 0, 1.526699179521529e-06
